reading_id,session_id,food_id,food_type,timestamp,days_since_start,storage,mq135_baseline,mq3_baseline,mq135_mean,mq135_std,mq3_mean,mq3_std,fsr_median,temp_c,rh_pct,label,data_source,notes
0,2026-06-01_AM,APPLE_01,apple,2026-06-01T06:00:00,0.0,room,62,21,79,4.3,24,5.3,501,29.2,60.5,fresh,synthetic_v0,simulated; ranges are estimates
43,2026-06-02_PM,APPLE_02,apple,2026-06-02T18:00:00,1.5,room,76,30,98,4.8,35,1.8,477,26.7,57.1,fresh,synthetic_v0,simulated; ranges are estimates
44,2026-06-03_AM,APPLE_02,apple,2026-06-03T06:00:00,2.0,room,76,32,82,6.9,35,3.8,468,25.3,67.4,fresh,synthetic_v0,simulated; ranges are estimates
45,2026-06-03_PM,APPLE_02,apple,2026-06-03T18:00:00,2.5,room,71,25,82,6.7,30,4.5,507,30.0,57.3,fresh,synthetic_v0,simulated; ranges are estimates
46,2026-06-04_AM,APPLE_02,apple,2026-06-04T06:00:00,3.0,room,69,30,79,5.7,35,4.5,533,30.9,76.6,fresh,synthetic_v0,simulated; ranges are estimates
47,2026-06-04_PM,APPLE_02,apple,2026-06-04T18:00:00,3.5,room,75,28,87,6.6,35,2.7,514,25.6,43.4,fresh,synthetic_v0,simulated; ranges are estimates
48,2026-06-05_AM,APPLE_02,apple,2026-06-05T06:00:00,4.0,room,71,26,82,4.1,32,4.5,566,27.4,57.7,fresh,synthetic_v0,simulated; ranges are estimates
49,2026-06-05_PM,APPLE_02,apple,2026-06-05T18:00:00,4.5,room,76,30,96,11.2,33,4.3,516,30.1,60.7,fresh,synthetic_v0,simulated; ranges are estimates
50,2026-06-06_AM,APPLE_02,apple,2026-06-06T06:00:00,5.0,room,79,28,90,4.3,29,5.0,535,29.6,62.9,fresh,synthetic_v0,simulated; ranges are estimates
51,2026-06-06_PM,APPLE_02,apple,2026-06-06T18:00:00,5.5,room,76,30,95,2.0,32,1.8,500,30.0,67.2,fresh,synthetic_v0,simulated; ranges are estimates
52,2026-06-07_AM,APPLE_02,apple,2026-06-07T06:00:00,6.0,room,75,24,76,6.9,26,3.2,627,28.7,47.5,fresh,synthetic_v0,simulated; ranges are estimates
53,2026-06-07_PM,APPLE_02,apple,2026-06-07T18:00:00,6.5,room,76,29,95,4.6,35,5.3,546,30.4,52.2,fresh,synthetic_v0,simulated; ranges are estimates
54,2026-06-08_AM,APPLE_02,apple,2026-06-08T06:00:00,7.0,room,74,33,109,8.9,49,4.2,387,28.4,72.5,ripe,synthetic_v0,simulated; ranges are estimates
55,2026-06-08_PM,APPLE_02,apple,2026-06-08T18:00:00,7.5,room,76,26,120,4.9,32,5.7,431,24.4,53.7,ripe,synthetic_v0,simulated; ranges are estimates
56,2026-06-09_AM,APPLE_02,apple,2026-06-09T06:00:00,8.0,room,71,27,110,5.7,36,4.3,395,26.5,65.7,ripe,synthetic_v0,simulated; ranges are estimates
57,2026-06-09_PM,APPLE_02,apple,2026-06-09T18:00:00,8.5,room,81,31,123,5.4,52,2.9,401,26.5,50.0,ripe,synthetic_v0,simulated; ranges are estimates
58,2026-06-10_AM,APPLE_02,apple,2026-06-10T06:00:00,9.0,room,74,30,114,7.8,39,5.1,373,27.8,54.8,ripe,synthetic_v0,simulated; ranges are estimates
59,2026-06-10_PM,APPLE_02,apple,2026-06-10T18:00:00,9.5,room,80,30,117,6.4,43,1.8,368,30.0,70.0,ripe,synthetic_v0,simulated; ranges are estimates
60,2026-06-11_AM,APPLE_02,apple,2026-06-11T06:00:00,10.0,room,76,31,108,3.9,51,5.1,263,31.0,50.6,overripe,synthetic_v0,simulated; ranges are estimates
61,2026-06-11_PM,APPLE_02,apple,2026-06-11T18:00:00,10.5,room,74,31,135,2.7,75,2.1,360,27.4,55.8,overripe,synthetic_v0,simulated; ranges are estimates
62,2026-06-12_AM,APPLE_02,apple,2026-06-12T06:00:00,11.0,room,80,31,125,8.5,75,3.1,250,27.0,64.3,overripe,synthetic_v0,simulated; ranges are estimates
63,2026-06-12_PM,APPLE_02,apple,2026-06-12T18:00:00,11.5,room,80,31,172,3.2,54,4.7,287,26.8,49.7,overripe,synthetic_v0,simulated; ranges are estimates
64,2026-06-13_AM,APPLE_02,apple,2026-06-13T06:00:00,12.0,room,78,31,147,6.1,88,4.4,256,27.1,63.8,overripe,synthetic_v0,simulated; ranges are estimates
65,2026-06-13_PM,APPLE_02,apple,2026-06-13T18:00:00,12.5,room,73,29,137,11.1,34,3.4,350,25.1,57.5,overripe,synthetic_v0,simulated; ranges are estimates
66,2026-06-14_AM,APPLE_02,apple,2026-06-14T06:00:00,13.0,room,73,29,188,3.0,150,5.0,162,31.1,61.4,rotten,synthetic_v0,simulated; ranges are estimates
67,2026-06-14_PM,APPLE_02,apple,2026-06-14T18:00:00,13.5,room,73,29,156,9.7,137,3.7,120,30.5,51.2,rotten,synthetic_v0,simulated; ranges are estimates
68,2026-06-15_AM,APPLE_02,apple,2026-06-15T06:00:00,14.0,room,75,31,204,5.4,135,1.5,194,28.0,52.8,rotten,synthetic_v0,simulated; ranges are estimates
69,2026-06-15_PM,APPLE_02,apple,2026-06-15T18:00:00,14.5,room,71,29,159,2.0,147,5.2,114,28.4,54.3,rotten,synthetic_v0,simulated; ranges are estimates
70,2026-06-16_AM,APPLE_02,apple,2026-06-16T06:00:00,15.0,room,66,32,263,6.8,225,3.7,157,29.2,65.0,rotten,synthetic_v0,simulated; ranges are estimates
71,2026-06-16_PM,APPLE_02,apple,2026-06-16T18:00:00,15.5,room,76,28,229,5.1,159,3.4,207,28.5,58.0,rotten,synthetic_v0,simulated; ranges are estimates
72,2026-06-17_AM,APPLE_02,apple,2026-06-17T06:00:00,16.0,room,73,22,204,4.1,87,2.6,31,27.7,68.9,rotten,synthetic_v0,simulated; ranges are estimates
73,2026-06-17_PM,APPLE_02,apple,2026-06-17T18:00:00,16.5,room,69,26,309,7.1,86,3.7,96,29.0,59.9,rotten,synthetic_v0,simulated; ranges are estimates
74,2026-06-01_AM,APPLE_03,apple,2026-06-01T06:00:00,0.0,room,65,20,86,5.8,23,5.7,456,24.6,48.0,fresh,synthetic_v0,simulated; ranges are estimates
75,2026-06-01_PM,APPLE_03,apple,2026-06-01T18:00:00,0.5,room,66,29,91,6.9,33,4.1,452,28.8,58.5,fresh,synthetic_v0,simulated; ranges are estimates
76,2026-06-02_AM,APPLE_03,apple,2026-06-02T06:00:00,1.0,room,73,26,94,2.0,31,5.5,429,29.8,51.8,fresh,synthetic_v0,simulated; ranges are estimates
77,2026-06-02_PM,APPLE_03,apple,2026-06-02T18:00:00,1.5,room,64,26,96,4.2,34,4.0,485,27.6,51.9,fresh,synthetic_v0,simulated; ranges are estimates
78,2026-06-03_AM,APPLE_03,apple,2026-06-03T06:00:00,2.0,room,81,32,105,7.3,33,4.7,540,29.9,65.1,fresh,synthetic_v0,simulated; ranges are estimates
79,2026-06-03_PM,APPLE_03,apple,2026-06-03T18:00:00,2.5,room,76,28,84,3.4,35,6.5,477,30.6,70.9,fresh,synthetic_v0,simulated; ranges are estimates
80,2026-06-04_AM,APPLE_03,apple,2026-06-04T06:00:00,3.0,room,76,31,92,6.8,35,4.1,453,26.0,59.6,fresh,synthetic_v0,simulated; ranges are estimates
81,2026-06-04_PM,APPLE_03,apple,2026-06-04T18:00:00,3.5,room,74,32,94,5.6,40,2.4,504,27.8,54.0,fresh,synthetic_v0,simulated; ranges are estimates
82,2026-06-05_AM,APPLE_03,apple,2026-06-05T06:00:00,4.0,room,71,29,90,8.0,30,5.6,497,29.5,60.3,fresh,synthetic_v0,simulated; ranges are estimates
83,2026-06-05_PM,APPLE_03,apple,2026-06-05T18:00:00,4.5,room,72,24,94,5.7,34,2.1,551,27.5,61.7,fresh,synthetic_v0,simulated; ranges are estimates
84,2026-06-06_AM,APPLE_03,apple,2026-06-06T06:00:00,5.0,room,76,27,94,6.6,29,3.4,474,28.4,62.2,fresh,synthetic_v0,simulated; ranges are estimates
85,2026-06-06_PM,APPLE_03,apple,2026-06-06T18:00:00,5.5,room,72,27,85,6.1,30,4.0,419,27.8,69.7,fresh,synthetic_v0,simulated; ranges are estimates
86,2026-06-07_AM,APPLE_03,apple,2026-06-07T06:00:00,6.0,room,67,30,93,4.5,31,2.7,485,27.5,71.4,fresh,synthetic_v0,simulated; ranges are estimates
87,2026-06-07_PM,APPLE_03,apple,2026-06-07T18:00:00,6.5,room,85,28,106,6.3,40,4.5,498,32.8,66.8,fresh,synthetic_v0,simulated; ranges are estimates
88,2026-06-08_AM,APPLE_03,apple,2026-06-08T06:00:00,7.0,room,75,32,119,6.1,42,4.4,431,28.0,62.7,ripe,synthetic_v0,simulated; ranges are estimates
89,2026-06-08_PM,APPLE_03,apple,2026-06-08T18:00:00,7.5,room,80,23,119,6.2,32,3.0,392,29.2,49.3,ripe,synthetic_v0,simulated; ranges are estimates
90,2026-06-09_AM,APPLE_03,apple,2026-06-09T06:00:00,8.0,room,76,28,125,7.4,42,4.1,354,25.2,44.3,ripe,synthetic_v0,simulated; ranges are estimates
91,2026-06-09_PM,APPLE_03,apple,2026-06-09T18:00:00,8.5,room,78,29,129,3.8,46,2.2,433,26.4,62.3,ripe,synthetic_v0,simulated; ranges are estimates
92,2026-06-10_AM,APPLE_03,apple,2026-06-10T06:00:00,9.0,room,83,29,99,4.9,32,3.4,361,28.1,57.5,ripe,synthetic_v0,simulated; ranges are estimates
93,2026-06-10_PM,APPLE_03,apple,2026-06-10T18:00:00,9.5,room,82,28,139,6.2,35,3.8,410,30.4,55.0,ripe,synthetic_v0,simulated; ranges are estimates
94,2026-06-11_AM,APPLE_03,apple,2026-06-11T06:00:00,10.0,room,86,29,159,4.5,79,4.6,221,28.8,55.0,overripe,synthetic_v0,simulated; ranges are estimates
95,2026-06-11_PM,APPLE_03,apple,2026-06-11T18:00:00,10.5,room,81,33,208,5.4,113,2.7,185,28.2,55.4,overripe,synthetic_v0,simulated; ranges are estimates
96,2026-06-12_AM,APPLE_03,apple,2026-06-12T06:00:00,11.0,room,76,36,180,6.2,93,4.0,259,28.7,69.3,overripe,synthetic_v0,simulated; ranges are estimates
97,2026-06-12_PM,APPLE_03,apple,2026-06-12T18:00:00,11.5,room,83,31,164,7.7,82,4.3,311,29.3,63.9,overripe,synthetic_v0,simulated; ranges are estimates
98,2026-06-13_AM,APPLE_03,apple,2026-06-13T06:00:00,12.0,room,80,31,292,6.8,179,1.5,3,25.4,63.6,rotten,synthetic_v0,simulated; ranges are estimates
99,2026-06-13_PM,APPLE_03,apple,2026-06-13T18:00:00,12.5,room,77,26,422,6.0,133,4.6,235,30.4,61.0,rotten,synthetic_v0,simulated; ranges are estimates
100,2026-06-14_AM,APPLE_03,apple,2026-06-14T06:00:00,13.0,room,70,29,306,4.5,86,5.4,123,28.1,57.7,rotten,synthetic_v0,simulated; ranges are estimates
101,2026-06-14_PM,APPLE_03,apple,2026-06-14T18:00:00,13.5,room,74,30,240,5.2,108,1.9,184,28.7,63.7,rotten,synthetic_v0,simulated; ranges are estimates
102,2026-06-15_AM,APPLE_03,apple,2026-06-15T06:00:00,14.0,room,67,30,361,3.2,181,4.5,163,27.5,56.1,rotten,synthetic_v0,simulated; ranges are estimates
103,2026-06-15_PM,APPLE_03,apple,2026-06-15T18:00:00,14.5,room,76,34,419,7.5,163,4.2,150,28.2,66.6,rotten,synthetic_v0,simulated; ranges are estimates
104,2026-06-01_AM,APPLE_04,apple,2026-06-01T06:00:00,0.0,room,70,26,89,6.8,28,2.1,554,30.2,56.0,fresh,synthetic_v0,simulated; ranges are estimates
105,2026-06-01_PM,APPLE_04,apple,2026-06-01T18:00:00,0.5,room,63,22,81,7.2,26,4.5,504,28.5,63.3,fresh,synthetic_v0,simulated; ranges are estimates
106,2026-06-02_AM,APPLE_04,apple,2026-06-02T06:00:00,1.0,room,74,19,87,6.0,20,5.6,521,29.8,61.6,fresh,synthetic_v0,simulated; ranges are estimates
107,2026-06-02_PM,APPLE_04,apple,2026-06-02T18:00:00,1.5,room,70,27,87,7.6,35,5.0,493,26.6,67.8,fresh,synthetic_v0,simulated; ranges are estimates
108,2026-06-03_AM,APPLE_04,apple,2026-06-03T06:00:00,2.0,room,76,27,86,7.1,28,2.6,494,28.7,50.1,fresh,synthetic_v0,simulated; ranges are estimates
109,2026-06-03_PM,APPLE_04,apple,2026-06-03T18:00:00,2.5,room,72,27,84,6.8,38,4.2,526,28.7,58.8,fresh,synthetic_v0,simulated; ranges are estimates
110,2026-06-04_AM,APPLE_04,apple,2026-06-04T06:00:00,3.0,room,80,26,102,3.9,27,4.7,516,30.2,59.4,fresh,synthetic_v0,simulated; ranges are estimates
111,2026-06-04_PM,APPLE_04,apple,2026-06-04T18:00:00,3.5,room,74,24,82,8.6,28,8.2,530,27.1,71.5,fresh,synthetic_v0,simulated; ranges are estimates
112,2026-06-05_AM,APPLE_04,apple,2026-06-05T06:00:00,4.0,room,77,27,94,5.2,30,1.9,524,25.7,65.2,fresh,synthetic_v0,simulated; ranges are estimates
113,2026-06-05_PM,APPLE_04,apple,2026-06-05T18:00:00,4.5,room,75,26,97,8.5,32,6.4,489,28.7,67.8,fresh,synthetic_v0,simulated; ranges are estimates
114,2026-06-06_AM,APPLE_04,apple,2026-06-06T06:00:00,5.0,room,82,32,100,3.8,36,5.1,543,26.0,53.6,fresh,synthetic_v0,simulated; ranges are estimates
115,2026-06-06_PM,APPLE_04,apple,2026-06-06T18:00:00,5.5,room,82,31,100,6.2,36,4.1,508,29.7,57.1,fresh,synthetic_v0,simulated; ranges are estimates
116,2026-06-07_AM,APPLE_04,apple,2026-06-07T06:00:00,6.0,room,79,26,96,5.5,29,3.7,484,27.6,74.2,fresh,synthetic_v0,simulated; ranges are estimates
117,2026-06-07_PM,APPLE_04,apple,2026-06-07T18:00:00,6.5,room,77,28,88,8.8,31,3.8,487,29.9,60.5,fresh,synthetic_v0,simulated; ranges are estimates
118,2026-06-08_AM,APPLE_04,apple,2026-06-08T06:00:00,7.0,room,78,29,93,2.0,35,3.2,412,28.0,65.5,fresh,synthetic_v0,simulated; ranges are estimates
119,2026-06-08_PM,APPLE_04,apple,2026-06-08T18:00:00,7.5,room,80,28,105,6.5,35,3.2,564,29.0,60.9,fresh,synthetic_v0,simulated; ranges are estimates
120,2026-06-09_AM,APPLE_04,apple,2026-06-09T06:00:00,8.0,room,78,34,79,5.3,34,3.6,464,25.7,52.1,fresh,synthetic_v0,simulated; ranges are estimates
121,2026-06-09_PM,APPLE_04,apple,2026-06-09T18:00:00,8.5,room,75,37,92,2.2,44,3.8,466,26.5,59.3,fresh,synthetic_v0,simulated; ranges are estimates
122,2026-06-10_AM,APPLE_04,apple,2026-06-10T06:00:00,9.0,room,71,28,87,3.4,31,5.3,539,26.8,65.1,fresh,synthetic_v0,simulated; ranges are estimates
123,2026-06-10_PM,APPLE_04,apple,2026-06-10T18:00:00,9.5,room,78,26,98,9.1,33,5.5,513,27.6,66.0,fresh,synthetic_v0,simulated; ranges are estimates
124,2026-06-11_AM,APPLE_04,apple,2026-06-11T06:00:00,10.0,room,85,36,115,3.9,43,2.0,470,27.3,63.4,ripe,synthetic_v0,simulated; ranges are estimates
125,2026-06-11_PM,APPLE_04,apple,2026-06-11T18:00:00,10.5,room,77,28,115,6.6,38,5.3,503,27.3,58.5,ripe,synthetic_v0,simulated; ranges are estimates
126,2026-06-12_AM,APPLE_04,apple,2026-06-12T06:00:00,11.0,room,74,22,102,3.6,25,6.0,314,27.9,70.3,ripe,synthetic_v0,simulated; ranges are estimates
127,2026-06-12_PM,APPLE_04,apple,2026-06-12T18:00:00,11.5,room,78,32,131,7.1,50,4.8,384,27.2,51.0,ripe,synthetic_v0,simulated; ranges are estimates
128,2026-06-13_AM,APPLE_04,apple,2026-06-13T06:00:00,12.0,room,71,30,119,7.1,38,4.9,409,30.3,70.2,ripe,synthetic_v0,simulated; ranges are estimates
129,2026-06-13_PM,APPLE_04,apple,2026-06-13T18:00:00,12.5,room,71,35,131,2.4,50,3.7,391,25.7,67.7,ripe,synthetic_v0,simulated; ranges are estimates
130,2026-06-14_AM,APPLE_04,apple,2026-06-14T06:00:00,13.0,room,80,27,128,7.5,36,3.9,382,30.6,56.1,ripe,synthetic_v0,simulated; ranges are estimates
131,2026-06-14_PM,APPLE_04,apple,2026-06-14T18:00:00,13.5,room,78,30,121,4.3,46,5.0,403,29.0,64.7,ripe,synthetic_v0,simulated; ranges are estimates
132,2026-06-15_AM,APPLE_04,apple,2026-06-15T06:00:00,14.0,room,79,34,169,6.0,85,3.1,249,30.4,62.9,overripe,synthetic_v0,simulated; ranges are estimates
133,2026-06-15_PM,APPLE_04,apple,2026-06-15T18:00:00,14.5,room,72,33,122,6.5,93,2.0,281,28.0,76.0,overripe,synthetic_v0,simulated; ranges are estimates
134,2026-06-16_AM,APPLE_04,apple,2026-06-16T06:00:00,15.0,room,74,30,163,6.5,67,5.3,179,25.6,54.7,overripe,synthetic_v0,simulated; ranges are estimates
135,2026-06-16_PM,APPLE_04,apple,2026-06-16T18:00:00,15.5,room,66,26,117,5.5,85,1.5,313,26.5,69.9,overripe,synthetic_v0,simulated; ranges are estimates
136,2026-06-17_AM,APPLE_04,apple,2026-06-17T06:00:00,16.0,room,58,28,195,6.8,187,4.8,108,30.8,58.4,rotten,synthetic_v0,simulated; ranges are estimates
137,2026-06-17_PM,APPLE_04,apple,2026-06-17T18:00:00,16.5,room,71,24,241,2.9,120,4.3,138,29.5,62.3,rotten,synthetic_v0,simulated; ranges are estimates
138,2026-06-18_AM,APPLE_04,apple,2026-06-18T06:00:00,17.0,room,62,28,332,7.8,54,4.4,89,28.6,74.9,rotten,synthetic_v0,simulated; ranges are estimates
139,2026-06-18_PM,APPLE_04,apple,2026-06-18T18:00:00,17.5,room,70,30,279,6.9,115,3.2,159,26.5,78.5,rotten,synthetic_v0,simulated; ranges are estimates
140,2026-06-19_AM,APPLE_04,apple,2026-06-19T06:00:00,18.0,room,68,26,350,7.1,139,2.1,127,28.5,75.3,rotten,synthetic_v0,simulated; ranges are estimates
141,2026-06-19_PM,APPLE_04,apple,2026-06-19T18:00:00,18.5,room,68,27,261,7.8,136,1.5,122,29.3,57.0,rotten,synthetic_v0,simulated; ranges are estimates
142,2026-06-01_AM,APPLE_05,apple,2026-06-01T06:00:00,0.0,room,74,20,95,6.0,24,4.5,426,28.8,61.4,fresh,synthetic_v0,simulated; ranges are estimates
143,2026-06-01_PM,APPLE_05,apple,2026-06-01T18:00:00,0.5,room,71,29,73,2.5,36,4.1,490,29.9,51.3,fresh,synthetic_v0,simulated; ranges are estimates
144,2026-06-02_AM,APPLE_05,apple,2026-06-02T06:00:00,1.0,room,73,23,84,6.9,29,1.5,473,30.8,64.8,fresh,synthetic_v0,simulated; ranges are estimates
145,2026-06-02_PM,APPLE_05,apple,2026-06-02T18:00:00,1.5,room,71,27,96,5.0,31,3.1,488,29.0,62.0,fresh,synthetic_v0,simulated; ranges are estimates
146,2026-06-03_AM,APPLE_05,apple,2026-06-03T06:00:00,2.0,room,76,26,95,2.9,29,5.9,596,30.1,53.2,fresh,synthetic_v0,simulated; ranges are estimates
147,2026-06-03_PM,APPLE_05,apple,2026-06-03T18:00:00,2.5,room,82,29,102,6.8,36,6.1,488,28.3,52.7,fresh,synthetic_v0,simulated; ranges are estimates
148,2026-06-04_AM,APPLE_05,apple,2026-06-04T06:00:00,3.0,room,78,30,98,4.1,35,2.7,485,25.5,61.9,fresh,synthetic_v0,simulated; ranges are estimates
149,2026-06-04_PM,APPLE_05,apple,2026-06-04T18:00:00,3.5,room,74,26,82,6.7,31,1.9,467,30.2,58.8,fresh,synthetic_v0,simulated; ranges are estimates
