reading_id,session_id,food_id,food_type,timestamp,days_since_start,storage,mq135_baseline,mq3_baseline,mq135_mean,mq135_std,mq3_mean,mq3_std,fsr_median,temp_c,rh_pct,label,data_source,notes
0,2026-06-01_AM,APPLE_01,apple,2026-06-01T06:00:00,0.0,room,68,26,95,6.7,37,4.5,417,27.5,55.0,fresh,synthetic_v2,simulated; true spoil=0.24
12,2026-06-07_AM,APPLE_01,apple,2026-06-07T06:00:00,6.0,room,76,28,141,7.6,49,4.7,377,30.3,59.9,ripe,synthetic_v2,simulated; true spoil=0.39
13,2026-06-07_PM,APPLE_01,apple,2026-06-07T18:00:00,6.5,room,70,30,134,7.4,46,5.3,376,29.5,59.5,ripe,synthetic_v2,simulated; true spoil=0.39
14,2026-06-08_AM,APPLE_01,apple,2026-06-08T06:00:00,7.0,room,75,28,149,7.7,59,6.1,356,30.7,58.3,ripe,synthetic_v2,simulated; true spoil=0.41
15,2026-06-08_PM,APPLE_01,apple,2026-06-08T18:00:00,7.5,room,80,28,146,9.3,53,5.0,342,31.2,65.7,ripe,synthetic_v2,simulated; true spoil=0.41
16,2026-06-09_AM,APPLE_01,apple,2026-06-09T06:00:00,8.0,room,75,26,147,7.8,55,6.5,344,30.0,65.0,ripe,synthetic_v2,simulated; true spoil=0.43
17,2026-06-09_PM,APPLE_01,apple,2026-06-09T18:00:00,8.5,room,75,27,152,7.1,61,6.0,331,31.3,61.4,ripe,synthetic_v2,simulated; true spoil=0.43
18,2026-06-10_AM,APPLE_01,apple,2026-06-10T06:00:00,9.0,room,75,27,152,7.6,60,6.4,335,30.9,67.7,ripe,synthetic_v2,simulated; true spoil=0.45
19,2026-06-10_PM,APPLE_01,apple,2026-06-10T18:00:00,9.5,room,78,28,159,8.9,60,5.3,335,31.6,68.8,ripe,synthetic_v2,simulated; true spoil=0.45
20,2026-06-11_AM,APPLE_01,apple,2026-06-11T06:00:00,10.0,room,78,31,167,9.3,65,5.8,317,32.1,71.3,ripe,synthetic_v2,simulated; true spoil=0.47
21,2026-06-11_PM,APPLE_01,apple,2026-06-11T18:00:00,10.5,room,72,31,163,10.1,66,6.1,352,33.0,72.0,ripe,synthetic_v2,simulated; true spoil=0.47
22,2026-06-12_AM,APPLE_01,apple,2026-06-12T06:00:00,11.0,room,72,29,160,10.2,63,4.1,336,32.9,75.8,ripe,synthetic_v2,simulated; true spoil=0.49
23,2026-06-12_PM,APPLE_01,apple,2026-06-12T18:00:00,11.5,room,72,26,161,9.3,63,4.7,327,30.1,69.7,ripe,synthetic_v2,simulated; true spoil=0.49
24,2026-06-13_AM,APPLE_01,apple,2026-06-13T06:00:00,12.0,room,72,27,164,8.7,68,5.8,307,29.3,71.4,ripe,synthetic_v2,simulated; true spoil=0.51
25,2026-06-13_PM,APPLE_01,apple,2026-06-13T18:00:00,12.5,room,77,29,173,9.8,76,4.7,302,31.4,70.7,ripe,synthetic_v2,simulated; true spoil=0.51
26,2026-06-14_AM,APPLE_01,apple,2026-06-14T06:00:00,13.0,room,77,29,174,7.7,72,5.2,309,30.4,73.0,ripe,synthetic_v2,simulated; true spoil=0.52
27,2026-06-14_PM,APPLE_01,apple,2026-06-14T18:00:00,13.5,room,70,27,165,10.9,74,6.0,313,30.1,53.0,ripe,synthetic_v2,simulated; true spoil=0.52
28,2026-06-15_AM,APPLE_01,apple,2026-06-15T06:00:00,14.0,room,74,27,179,11.3,73,4.8,293,30.8,73.6,overripe,synthetic_v2,simulated; true spoil=0.54
29,2026-06-15_PM,APPLE_01,apple,2026-06-15T18:00:00,14.5,room,71,30,170,10.3,82,4.0,323,31.8,69.5,overripe,synthetic_v2,simulated; true spoil=0.54
30,2026-06-16_AM,APPLE_01,apple,2026-06-16T06:00:00,15.0,room,74,29,177,10.1,76,7.1,297,30.5,70.2,ripe,synthetic_v2,simulated; true spoil=0.56
31,2026-06-16_PM,APPLE_01,apple,2026-06-16T18:00:00,15.5,room,74,30,174,10.1,83,6.3,311,31.2,67.8,ripe,synthetic_v2,simulated; true spoil=0.56
32,2026-06-17_AM,APPLE_01,apple,2026-06-17T06:00:00,16.0,room,68,31,180,11.1,81,6.0,286,30.3,77.5,rotten,synthetic_v2,simulated; true spoil=0.57
33,2026-06-17_PM,APPLE_01,apple,2026-06-17T18:00:00,16.5,room,69,28,180,10.7,81,4.9,289,31.1,64.4,rotten,synthetic_v2,simulated; true spoil=0.57
34,2026-06-18_AM,APPLE_01,apple,2026-06-18T06:00:00,17.0,room,73,27,189,10.2,76,6.1,295,29.7,65.7,overripe,synthetic_v2,simulated; true spoil=0.59
35,2026-06-18_PM,APPLE_01,apple,2026-06-18T18:00:00,17.5,room,68,26,185,11.2,85,5.4,284,31.2,65.0,overripe,synthetic_v2,simulated; true spoil=0.59
36,2026-06-19_AM,APPLE_01,apple,2026-06-19T06:00:00,18.0,room,68,28,179,12.5,84,6.1,300,28.5,76.4,overripe,synthetic_v2,simulated; true spoil=0.60
37,2026-06-19_PM,APPLE_01,apple,2026-06-19T18:00:00,18.5,room,65,25,182,10.4,84,6.6,293,30.2,63.2,overripe,synthetic_v2,simulated; true spoil=0.60
38,2026-06-20_AM,APPLE_01,apple,2026-06-20T06:00:00,19.0,room,67,26,187,11.5,81,7.7,276,29.0,71.0,overripe,synthetic_v2,simulated; true spoil=0.62
39,2026-06-20_PM,APPLE_01,apple,2026-06-20T18:00:00,19.5,room,62,28,177,11.5,87,6.2,253,31.0,70.2,overripe,synthetic_v2,simulated; true spoil=0.62
40,2026-06-21_AM,APPLE_01,apple,2026-06-21T06:00:00,20.0,room,66,25,182,9.6,82,6.3,298,27.1,67.8,overripe,synthetic_v2,simulated; true spoil=0.63
41,2026-06-21_PM,APPLE_01,apple,2026-06-21T18:00:00,20.5,room,69,28,192,10.7,83,6.6,285,29.9,63.9,overripe,synthetic_v2,simulated; true spoil=0.63
42,2026-06-22_AM,APPLE_01,apple,2026-06-22T06:00:00,21.0,room,67,25,189,11.3,80,7.0,249,28.3,67.5,overripe,synthetic_v2,simulated; true spoil=0.64
43,2026-06-22_PM,APPLE_01,apple,2026-06-22T18:00:00,21.5,room,68,26,191,10.0,85,5.6,262,27.9,65.5,overripe,synthetic_v2,simulated; true spoil=0.64
44,2026-06-23_AM,APPLE_01,apple,2026-06-23T06:00:00,22.0,room,68,24,188,10.7,89,5.7,268,28.8,71.4,overripe,synthetic_v2,simulated; true spoil=0.66
45,2026-06-23_PM,APPLE_01,apple,2026-06-23T18:00:00,22.5,room,59,24,198,12.9,86,5.5,263,31.7,68.2,overripe,synthetic_v2,simulated; true spoil=0.66
46,2026-06-24_AM,APPLE_01,apple,2026-06-24T06:00:00,23.0,room,64,23,189,10.5,84,6.2,251,28.6,70.4,overripe,synthetic_v2,simulated; true spoil=0.67
47,2026-06-24_PM,APPLE_01,apple,2026-06-24T18:00:00,23.5,room,64,23,192,10.4,88,7.3,238,27.7,62.2,overripe,synthetic_v2,simulated; true spoil=0.67
48,2026-06-25_AM,APPLE_01,apple,2026-06-25T06:00:00,24.0,room,62,25,187,11.1,89,7.0,249,26.6,75.7,overripe,synthetic_v2,simulated; true spoil=0.68
49,2026-06-25_PM,APPLE_01,apple,2026-06-25T18:00:00,24.5,room,61,24,193,9.8,88,7.1,263,28.3,62.8,overripe,synthetic_v2,simulated; true spoil=0.68
50,2026-06-26_AM,APPLE_01,apple,2026-06-26T06:00:00,25.0,room,61,22,190,10.3,88,7.0,229,25.7,58.6,overripe,synthetic_v2,simulated; true spoil=0.69
51,2026-06-26_PM,APPLE_01,apple,2026-06-26T18:00:00,25.5,room,61,21,196,9.9,83,8.0,253,27.1,64.0,overripe,synthetic_v2,simulated; true spoil=0.69
52,2026-06-27_AM,APPLE_01,apple,2026-06-27T06:00:00,26.0,room,70,21,203,10.1,86,5.8,244,26.1,68.2,overripe,synthetic_v2,simulated; true spoil=0.70
53,2026-06-27_PM,APPLE_01,apple,2026-06-27T18:00:00,26.5,room,64,26,200,9.0,88,6.9,227,26.2,70.8,overripe,synthetic_v2,simulated; true spoil=0.70
54,2026-06-28_AM,APPLE_01,apple,2026-06-28T06:00:00,27.0,room,62,25,191,12.2,90,6.3,221,25.0,71.5,overripe,synthetic_v2,simulated; true spoil=0.71
55,2026-06-28_PM,APPLE_01,apple,2026-06-28T18:00:00,27.5,room,65,20,199,11.6,87,6.6,238,26.4,56.9,overripe,synthetic_v2,simulated; true spoil=0.71
56,2026-06-29_AM,APPLE_01,apple,2026-06-29T06:00:00,28.0,room,64,20,203,11.9,87,5.8,235,27.0,74.9,overripe,synthetic_v2,simulated; true spoil=0.72
57,2026-06-29_PM,APPLE_01,apple,2026-06-29T18:00:00,28.5,room,63,21,204,11.5,90,6.9,227,27.5,65.1,overripe,synthetic_v2,simulated; true spoil=0.72
58,2026-06-30_AM,APPLE_01,apple,2026-06-30T06:00:00,29.0,room,66,17,204,12.0,82,6.7,224,25.5,58.0,overripe,synthetic_v2,simulated; true spoil=0.73
59,2026-06-30_PM,APPLE_01,apple,2026-06-30T18:00:00,29.5,room,66,22,204,10.7,89,6.9,228,26.5,62.7,overripe,synthetic_v2,simulated; true spoil=0.73
60,2026-07-01_AM,APPLE_01,apple,2026-07-01T06:00:00,30.0,room,70,22,208,12.2,93,7.2,208,25.4,63.3,overripe,synthetic_v2,simulated; true spoil=0.74
61,2026-07-01_PM,APPLE_01,apple,2026-07-01T18:00:00,30.5,room,64,22,207,13.3,94,7.7,230,25.8,62.7,overripe,synthetic_v2,simulated; true spoil=0.74
62,2026-07-02_AM,APPLE_01,apple,2026-07-02T06:00:00,31.0,room,71,18,216,11.0,89,6.3,194,25.4,55.4,overripe,synthetic_v2,simulated; true spoil=0.75
63,2026-07-02_PM,APPLE_01,apple,2026-07-02T18:00:00,31.5,room,69,21,216,11.1,99,6.6,243,27.6,61.3,overripe,synthetic_v2,simulated; true spoil=0.75
64,2026-07-03_AM,APPLE_01,apple,2026-07-03T06:00:00,32.0,room,71,23,215,12.8,98,7.9,212,25.5,64.3,overripe,synthetic_v2,simulated; true spoil=0.76
65,2026-07-03_PM,APPLE_01,apple,2026-07-03T18:00:00,32.5,room,72,21,220,12.7,92,5.5,201,26.6,60.8,overripe,synthetic_v2,simulated; true spoil=0.76
66,2026-07-04_AM,APPLE_01,apple,2026-07-04T06:00:00,33.0,room,75,22,215,11.4,88,6.6,214,24.6,58.4,overripe,synthetic_v2,simulated; true spoil=0.77
67,2026-07-04_PM,APPLE_01,apple,2026-07-04T18:00:00,33.5,room,77,23,225,12.7,100,7.3,226,27.0,47.6,overripe,synthetic_v2,simulated; true spoil=0.77
68,2026-07-05_AM,APPLE_01,apple,2026-07-05T06:00:00,34.0,room,73,21,221,13.8,101,7.2,213,24.5,60.3,overripe,synthetic_v2,simulated; true spoil=0.78
69,2026-07-05_PM,APPLE_01,apple,2026-07-05T18:00:00,34.5,room,76,18,227,11.6,95,7.3,224,27.7,55.7,overripe,synthetic_v2,simulated; true spoil=0.78
70,2026-07-06_AM,APPLE_01,apple,2026-07-06T06:00:00,35.0,room,77,21,224,13.4,96,6.3,206,23.6,64.8,overripe,synthetic_v2,simulated; true spoil=0.78
71,2026-07-06_PM,APPLE_01,apple,2026-07-06T18:00:00,35.5,room,71,21,217,11.9,99,7.8,215,25.5,60.6,overripe,synthetic_v2,simulated; true spoil=0.78
72,2026-07-07_AM,APPLE_01,apple,2026-07-07T06:00:00,36.0,room,75,24,233,12.8,107,6.5,209,24.8,64.7,overripe,synthetic_v2,simulated; true spoil=0.79
73,2026-07-07_PM,APPLE_01,apple,2026-07-07T18:00:00,36.5,room,77,20,226,12.3,93,7.1,191,26.6,60.9,overripe,synthetic_v2,simulated; true spoil=0.79
74,2026-07-08_AM,APPLE_01,apple,2026-07-08T06:00:00,37.0,room,79,22,226,11.6,98,6.8,193,25.1,60.3,rotten,synthetic_v2,simulated; true spoil=0.80
75,2026-07-08_PM,APPLE_01,apple,2026-07-08T18:00:00,37.5,room,83,24,231,12.3,99,7.6,201,26.5,61.3,rotten,synthetic_v2,simulated; true spoil=0.80
76,2026-07-09_AM,APPLE_01,apple,2026-07-09T06:00:00,38.0,room,74,26,233,14.6,106,7.7,211,25.5,55.1,rotten,synthetic_v2,simulated; true spoil=0.81
77,2026-07-09_PM,APPLE_01,apple,2026-07-09T18:00:00,38.5,room,78,21,238,11.3,102,7.5,208,27.6,46.8,rotten,synthetic_v2,simulated; true spoil=0.81
78,2026-07-10_AM,APPLE_01,apple,2026-07-10T06:00:00,39.0,room,79,26,225,12.3,110,5.9,203,25.4,54.4,rotten,synthetic_v2,simulated; true spoil=0.81
79,2026-07-10_PM,APPLE_01,apple,2026-07-10T18:00:00,39.5,room,77,19,232,13.0,100,7.2,176,26.3,50.0,rotten,synthetic_v2,simulated; true spoil=0.81
80,2026-07-11_AM,APPLE_01,apple,2026-07-11T06:00:00,40.0,room,81,27,237,14.1,103,7.6,197,26.3,52.6,overripe,synthetic_v2,simulated; true spoil=0.82
81,2026-07-11_PM,APPLE_01,apple,2026-07-11T18:00:00,40.5,room,76,22,235,12.9,104,6.4,194,26.9,62.5,overripe,synthetic_v2,simulated; true spoil=0.82
82,2026-07-12_AM,APPLE_01,apple,2026-07-12T06:00:00,41.0,room,78,21,237,12.8,103,8.0,202,26.4,65.9,rotten,synthetic_v2,simulated; true spoil=0.83
83,2026-07-12_PM,APPLE_01,apple,2026-07-12T18:00:00,41.5,room,74,26,244,11.5,109,6.8,196,28.2,55.1,rotten,synthetic_v2,simulated; true spoil=0.83
84,2026-07-13_AM,APPLE_01,apple,2026-07-13T06:00:00,42.0,room,77,23,241,12.5,111,8.0,174,26.6,57.1,rotten,synthetic_v2,simulated; true spoil=0.83
85,2026-07-13_PM,APPLE_01,apple,2026-07-13T18:00:00,42.5,room,76,25,238,14.7,105,7.0,185,27.4,43.4,rotten,synthetic_v2,simulated; true spoil=0.83
86,2026-07-14_AM,APPLE_01,apple,2026-07-14T06:00:00,43.0,room,72,20,230,13.6,101,7.1,196,26.0,49.3,rotten,synthetic_v2,simulated; true spoil=0.84
87,2026-07-14_PM,APPLE_01,apple,2026-07-14T18:00:00,43.5,room,76,25,246,13.9,113,6.3,205,29.1,53.6,rotten,synthetic_v2,simulated; true spoil=0.84
88,2026-07-15_AM,APPLE_01,apple,2026-07-15T06:00:00,44.0,room,74,23,241,11.6,105,7.1,208,27.8,51.1,rotten,synthetic_v2,simulated; true spoil=0.84
89,2026-07-15_PM,APPLE_01,apple,2026-07-15T18:00:00,44.5,room,71,25,241,14.4,111,9.5,195,29.1,48.8,rotten,synthetic_v2,simulated; true spoil=0.84
90,2026-07-16_AM,APPLE_01,apple,2026-07-16T06:00:00,45.0,room,71,26,234,12.2,115,6.8,172,27.4,49.5,rotten,synthetic_v2,simulated; true spoil=0.85
91,2026-07-16_PM,APPLE_01,apple,2026-07-16T18:00:00,45.5,room,72,22,236,12.8,110,8.2,188,29.2,41.4,rotten,synthetic_v2,simulated; true spoil=0.85
92,2026-07-17_AM,APPLE_01,apple,2026-07-17T06:00:00,46.0,room,68,25,236,14.9,116,7.9,177,29.4,51.0,rotten,synthetic_v2,simulated; true spoil=0.86
93,2026-07-17_PM,APPLE_01,apple,2026-07-17T18:00:00,46.5,room,79,28,258,13.5,118,7.5,182,31.2,49.0,rotten,synthetic_v2,simulated; true spoil=0.86
94,2026-07-18_AM,APPLE_01,apple,2026-07-18T06:00:00,47.0,room,70,27,241,14.9,113,7.7,179,29.6,57.0,rotten,synthetic_v2,simulated; true spoil=0.86
95,2026-07-18_PM,APPLE_01,apple,2026-07-18T18:00:00,47.5,room,71,27,251,15.8,126,7.2,191,31.3,45.4,rotten,synthetic_v2,simulated; true spoil=0.86
96,2026-07-19_AM,APPLE_01,apple,2026-07-19T06:00:00,48.0,room,68,27,245,13.7,118,6.7,184,29.5,52.9,rotten,synthetic_v2,simulated; true spoil=0.87
97,2026-07-19_PM,APPLE_01,apple,2026-07-19T18:00:00,48.5,room,66,28,239,12.6,120,8.6,188,30.8,55.0,rotten,synthetic_v2,simulated; true spoil=0.87
98,2026-07-20_AM,APPLE_01,apple,2026-07-20T06:00:00,49.0,room,68,31,248,12.7,128,8.7,180,32.3,60.4,rotten,synthetic_v2,simulated; true spoil=0.87
99,2026-07-20_PM,APPLE_01,apple,2026-07-20T18:00:00,49.5,room,70,28,249,14.4,120,7.3,182,31.1,57.4,rotten,synthetic_v2,simulated; true spoil=0.87
100,2026-07-21_AM,APPLE_01,apple,2026-07-21T06:00:00,50.0,room,70,27,246,13.1,119,7.5,177,28.1,54.6,rotten,synthetic_v2,simulated; true spoil=0.87
101,2026-07-21_PM,APPLE_01,apple,2026-07-21T18:00:00,50.5,room,71,28,258,13.1,122,7.5,163,32.7,43.2,rotten,synthetic_v2,simulated; true spoil=0.87
102,2026-07-22_AM,APPLE_01,apple,2026-07-22T06:00:00,51.0,room,64,29,243,13.9,126,7.4,184,31.5,56.0,rotten,synthetic_v2,simulated; true spoil=0.88
103,2026-07-22_PM,APPLE_01,apple,2026-07-22T18:00:00,51.5,room,69,29,250,14.9,122,8.7,170,31.2,50.4,rotten,synthetic_v2,simulated; true spoil=0.88
104,2026-07-23_AM,APPLE_01,apple,2026-07-23T06:00:00,52.0,room,71,32,249,12.0,130,7.2,169,31.3,61.4,rotten,synthetic_v2,simulated; true spoil=0.88
105,2026-07-23_PM,APPLE_01,apple,2026-07-23T18:00:00,52.5,room,67,28,254,15.4,126,6.1,179,32.6,54.0,rotten,synthetic_v2,simulated; true spoil=0.88
106,2026-07-24_AM,APPLE_01,apple,2026-07-24T06:00:00,53.0,room,66,27,252,13.4,123,6.6,161,31.5,44.9,rotten,synthetic_v2,simulated; true spoil=0.89
107,2026-07-24_PM,APPLE_01,apple,2026-07-24T18:00:00,53.5,room,65,29,252,15.0,126,8.7,184,32.1,52.5,rotten,synthetic_v2,simulated; true spoil=0.89
108,2026-07-25_AM,APPLE_01,apple,2026-07-25T06:00:00,54.0,room,67,28,248,14.5,125,7.2,159,30.6,49.0,rotten,synthetic_v2,simulated; true spoil=0.89
109,2026-07-25_PM,APPLE_01,apple,2026-07-25T18:00:00,54.5,room,69,31,253,13.5,135,7.9,175,32.5,52.2,rotten,synthetic_v2,simulated; true spoil=0.89
110,2026-07-26_AM,APPLE_01,apple,2026-07-26T06:00:00,55.0,room,63,25,248,14.6,121,7.3,147,31.4,50.7,rotten,synthetic_v2,simulated; true spoil=0.90
111,2026-07-26_PM,APPLE_01,apple,2026-07-26T18:00:00,55.5,room,61,25,246,13.3,118,9.0,148,31.5,49.3,rotten,synthetic_v2,simulated; true spoil=0.90
112,2026-07-27_AM,APPLE_01,apple,2026-07-27T06:00:00,56.0,room,64,30,240,15.6,128,8.1,163,29.9,54.0,rotten,synthetic_v2,simulated; true spoil=0.90
113,2026-07-27_PM,APPLE_01,apple,2026-07-27T18:00:00,56.5,room,64,32,253,12.5,131,7.7,177,32.3,45.8,rotten,synthetic_v2,simulated; true spoil=0.90
114,2026-07-28_AM,APPLE_01,apple,2026-07-28T06:00:00,57.0,room,65,34,248,15.3,132,7.0,149,31.8,49.3,rotten,synthetic_v2,simulated; true spoil=0.90
115,2026-07-28_PM,APPLE_01,apple,2026-07-28T18:00:00,57.5,room,67,31,256,14.1,127,6.9,158,31.2,49.1,rotten,synthetic_v2,simulated; true spoil=0.90
116,2026-07-29_AM,APPLE_01,apple,2026-07-29T06:00:00,58.0,room,67,32,239,14.8,131,7.0,157,29.2,48.0,rotten,synthetic_v2,simulated; true spoil=0.91
117,2026-07-29_PM,APPLE_01,apple,2026-07-29T18:00:00,58.5,room,60,32,246,11.9,129,7.0,163,32.8,57.3,rotten,synthetic_v2,simulated; true spoil=0.91
118,2026-07-30_AM,APPLE_01,apple,2026-07-30T06:00:00,59.0,room,69,24,254,14.3,123,7.4,161,30.2,50.9,rotten,synthetic_v2,simulated; true spoil=0.91
119,2026-07-30_PM,APPLE_01,apple,2026-07-30T18:00:00,59.5,room,67,27,251,16.2,125,9.8,173,31.9,53.2,rotten,synthetic_v2,simulated; true spoil=0.91
120,2026-07-31_AM,APPLE_01,apple,2026-07-31T06:00:00,60.0,room,66,27,258,14.4,126,7.5,165,28.8,54.1,rotten,synthetic_v2,simulated; true spoil=0.91
121,2026-07-31_PM,APPLE_01,apple,2026-07-31T18:00:00,60.5,room,64,28,251,15.4,125,8.2,161,32.2,50.6,rotten,synthetic_v2,simulated; true spoil=0.91
122,2026-06-01_AM,APPLE_02,apple,2026-06-01T06:00:00,0.0,room,68,24,74,4.6,30,4.4,535,27.7,63.8,fresh,synthetic_v2,simulated; true spoil=0.15
123,2026-06-01_PM,APPLE_02,apple,2026-06-01T18:00:00,0.5,room,64,25,71,6.4,25,4.5,526,28.5,65.7,fresh,synthetic_v2,simulated; true spoil=0.15
124,2026-06-02_AM,APPLE_02,apple,2026-06-02T06:00:00,1.0,room,74,30,95,7.3,35,4.3,522,27.1,57.1,fresh,synthetic_v2,simulated; true spoil=0.18
125,2026-06-02_PM,APPLE_02,apple,2026-06-02T18:00:00,1.5,room,68,25,81,5.7,26,5.9,523,30.0,64.0,fresh,synthetic_v2,simulated; true spoil=0.18
126,2026-06-03_AM,APPLE_02,apple,2026-06-03T06:00:00,2.0,room,71,24,88,4.2,31,3.5,523,28.0,61.2,fresh,synthetic_v2,simulated; true spoil=0.21
127,2026-06-03_PM,APPLE_02,apple,2026-06-03T18:00:00,2.5,room,74,25,89,5.5,29,2.7,511,30.6,62.0,fresh,synthetic_v2,simulated; true spoil=0.21
128,2026-06-04_AM,APPLE_02,apple,2026-06-04T06:00:00,3.0,room,72,25,86,5.6,30,4.2,501,28.1,70.8,fresh,synthetic_v2,simulated; true spoil=0.23
129,2026-06-04_PM,APPLE_02,apple,2026-06-04T18:00:00,3.5,room,74,28,97,7.1,32,3.8,492,30.4,53.3,fresh,synthetic_v2,simulated; true spoil=0.23
130,2026-06-05_AM,APPLE_02,apple,2026-06-05T06:00:00,4.0,room,74,29,107,5.3,41,4.7,485,30.5,69.4,fresh,synthetic_v2,simulated; true spoil=0.26
131,2026-06-05_PM,APPLE_02,apple,2026-06-05T18:00:00,4.5,room,77,29,99,6.0,35,4.1,487,30.3,61.7,fresh,synthetic_v2,simulated; true spoil=0.26
132,2026-06-06_AM,APPLE_02,apple,2026-06-06T06:00:00,5.0,room,71,26,106,5.3,42,3.7,476,30.4,63.2,fresh,synthetic_v2,simulated; true spoil=0.28
133,2026-06-06_PM,APPLE_02,apple,2026-06-06T18:00:00,5.5,room,74,26,103,6.1,39,4.7,491,32.5,65.5,fresh,synthetic_v2,simulated; true spoil=0.28
134,2026-06-07_AM,APPLE_02,apple,2026-06-07T06:00:00,6.0,room,71,28,115,7.5,45,4.4,473,31.5,71.3,ripe,synthetic_v2,simulated; true spoil=0.31
135,2026-06-07_PM,APPLE_02,apple,2026-06-07T18:00:00,6.5,room,76,30,112,7.9,47,5.0,474,32.4,63.4,ripe,synthetic_v2,simulated; true spoil=0.31
136,2026-06-08_AM,APPLE_02,apple,2026-06-08T06:00:00,7.0,room,79,27,119,5.8,38,6.1,458,28.1,62.6,ripe,synthetic_v2,simulated; true spoil=0.33
137,2026-06-08_PM,APPLE_02,apple,2026-06-08T18:00:00,7.5,room,78,27,123,6.3,44,4.8,447,31.3,59.8,ripe,synthetic_v2,simulated; true spoil=0.33
138,2026-06-09_AM,APPLE_02,apple,2026-06-09T06:00:00,8.0,room,74,31,124,7.5,48,4.6,479,31.5,63.5,ripe,synthetic_v2,simulated; true spoil=0.35
139,2026-06-09_PM,APPLE_02,apple,2026-06-09T18:00:00,8.5,room,74,30,130,8.3,48,5.9,438,32.7,71.1,ripe,synthetic_v2,simulated; true spoil=0.35
140,2026-06-10_AM,APPLE_02,apple,2026-06-10T06:00:00,9.0,room,72,26,132,9.6,46,4.1,418,31.3,72.6,ripe,synthetic_v2,simulated; true spoil=0.37
141,2026-06-10_PM,APPLE_02,apple,2026-06-10T18:00:00,9.5,room,75,29,138,8.3,52,4.5,434,33.3,70.2,ripe,synthetic_v2,simulated; true spoil=0.37
142,2026-06-11_AM,APPLE_02,apple,2026-06-11T06:00:00,10.0,room,76,31,127,7.5,53,5.5,416,30.9,75.9,ripe,synthetic_v2,simulated; true spoil=0.39
143,2026-06-11_PM,APPLE_02,apple,2026-06-11T18:00:00,10.5,room,68,27,123,8.0,51,6.2,429,30.6,73.4,ripe,synthetic_v2,simulated; true spoil=0.39
144,2026-06-12_AM,APPLE_02,apple,2026-06-12T06:00:00,11.0,room,75,29,132,6.3,57,5.8,439,31.3,69.7,ripe,synthetic_v2,simulated; true spoil=0.41
145,2026-06-12_PM,APPLE_02,apple,2026-06-12T18:00:00,11.5,room,79,27,151,8.4,54,5.3,406,34.9,72.0,ripe,synthetic_v2,simulated; true spoil=0.41
146,2026-06-13_AM,APPLE_02,apple,2026-06-13T06:00:00,12.0,room,74,28,144,7.2,52,4.0,393,31.9,71.0,ripe,synthetic_v2,simulated; true spoil=0.43
147,2026-06-13_PM,APPLE_02,apple,2026-06-13T18:00:00,12.5,room,75,33,138,6.6,55,4.3,411,31.7,59.6,ripe,synthetic_v2,simulated; true spoil=0.43
148,2026-06-14_AM,APPLE_02,apple,2026-06-14T06:00:00,13.0,room,70,26,141,8.9,61,5.6,396,31.8,68.2,ripe,synthetic_v2,simulated; true spoil=0.45
